Key,Value
T1047,Software can use `wmic` to gather information from a system.
T1561.002,"may be performed in isolation, or along with  if all sectors of a disk are wiped."
T1043,Software has used port 443 for C2 traffic.
T1070,"During , threat actors cleared logs to remove traces of their activity and restored compromised systems to a clean state to bypass manufacturer mitigations for CVE-2023-46805 and CVE-2024-21887."
T1566.002,Software has been delivered via malicious links embedded in e-mails.
T1612,"An adversary may take advantage of that <code>build</code> API to build a custom image on the host that includes malware downloaded from their C2 server, and then they may utilize  using that custom image."
T1546.010,Malicious AppInit DLLs may also provide persistence by continuously being triggered by API activity.
T1105,Software can downloaded payloads from C2 to the compromised host.
T1087.001,This information can help adversaries determine which local accounts exist on a system to aid in follow-on behavior.
T1003.001,Software contains a modified version of Software to help gather credentials that are later used for lateral movement.
T1005,Attacker RPC backdoors can upload files from victim machines.
T1036.005,Software has masqueraded as VMware.exe.
T1059,Software has executed a Lua script through a Lua interpreter for Windows.
T1559.001,"Specific COM objects also exist to directly perform functions beyond code execution, such as creating a , fileless download/execution, and other adversary behaviors related to privilege escalation and persistence."
T1105,Software can download additional files for execution on the victim’s machine.
T1552.001,Software searches for files named logins.json to parse for credentials.
T1592.002,Adversaries may also compromise sites then include malicious content designed to collect host information from visitors.
T1053.002,Software Windows task scheduler tool to use scheduled tasks for execution on a victim network.
T1056.001,"Software contains keylogging functionality that will monitor for active application windows and write them to the log, it can handle special characters, and it will buffer by default 50 characters before sending them out over the C2 infrastructure."
T1059.003,Operators deploying Software have used batch scripts to retrieve the Software payload.
T1501,"* ExecStart, ExecStartPre, and ExecStartPost directives cover execution of commands when a services is started manually by 'systemctl' or on system start if the service is set to automatically start."
T1059.003,Software can open a reverse shell on the system to execute commands.
T1213,"The following is a brief list of example information that may hold potential value to an adversary and may also be found on an information repository:

* Policies, procedures, and standards
* Physical / logical network diagrams
* System architecture diagrams
* Technical system documentation
* Testing / development credentials
* Work / project schedules
* Source code snippets
* Links to network shares and other internal resources

Information stored in a repository may vary based on the specific instance or environment."
T1564.004,Software has the ability to save and execute files as an alternate data stream .
T1161,The LC_LOAD_DYLIB header in a Mach-O binary tells macOS and OS X which dynamic libraries  to load during execution time.
T1102,Use of Web services may also protect back-end C2 infrastructure from discovery through malware binary analysis while also enabling operational resiliency .
T1657,"Due to the potentially immense business impact of financial theft, an adversary may abuse the possibility of financial theft and seeking monetary gain to divert attention from their true goals such as  and business disruption."
T1140,"Software has decrypted itself using a single-byte XOR scheme. Additionally, Software can decrypt its configuration data at runtime."
T1497.001,Checks could include generic system properties such as host/domain name and samples of network traffic.
T1583.001,Attacker has registered a variety of domains to host malicious payloads and for C2.
T1082,Software gathers information on the system and local drives.
T1205,"During , threat actors sent a magic 48-byte sequence to enable the PITSOCK backdoor to communicate via the `/tmp/clientsDownload.sock` socket."
T1083,Many command shell utilities can be used to obtain this information.
T1037.003,These logon scripts run with the privileges of the user they are assigned to.
T1059.003,Software has used cmd.exe and batch scripts to execute commands.
T1562.001,Software has modified DNS resolvers to evade DNS monitoring tools.
T1590,as well as specifics regarding its topology and operations.
T1074.002,Attacker actors have compressed data from remote systems and moved it to another staging system before exfiltration.
